employee_id,name,department,age,salary,performance,join_date,region
1001,  Grace Wilson,marketing,22.0,41866.57,5.86,2015-01-01,
1002,david brown,sales,37.0,51477.27,4.95,2015-01-08,North
1003,henry moore,hr,26.0,40191.56,6.2,2015-01-15,south
1004,Emily Davis,marketing,43.0,47632.55,4.2,2015-01-22,West 
1005,  Grace Wilson,  Engineering  ,,,4.52,2015-01-29,
1006,JACK ANDERSON,HR,24.0,78837.16,5.79,2015-02-05,south
1007,  Carol White ,HR,33.0,43646.41,1.6,2015-02-12,
1008,  Grace Wilson,  Engineering  ,47.0,41873.82,3.06,2015-02-19,EAST
1009,henry moore,FINANCE,37.0,35115.85,5.89,2015-02-26,North
1010,Emily Davis,  Engineering  ,58.0,43431.92,4.88,2015-03-05,EAST
1011,david brown,  Engineering  ,43.0,47576.6,4.0,2015-03-12,south
1012,henry moore,HR,,54257.81,7.57,2015-03-19,
1013,henry moore,Sales,35.0,45320.17,7.24,2015-03-26,
1014,  Carol White ,HR,49.0,30990.83,2.5,2015-04-02,North
1015,frank miller,hr,26.0,32281.38,8.91,2015-04-09,
1016,Emily Davis,sales,51.0,65194.9,5.46,2015-04-16,south
1017,BOB SMITH,engineering,26.0,53158.17,7.67,2015-04-23,
1018,henry moore,Sales,33.0,64733.4,6.16,2015-04-30,North
1019,frank miller,MARKETING,,66704.13,9.98,2015-05-07,
1020,BOB SMITH,engineering,47.0,57266.2,7.77,2015-05-14,
1021,Emily Davis,sales,47.0,36524.04,7.36,2015-05-21,West 
1022,alice johnson,hr,42.0,57843.77,8.01,2015-05-28,south
1023,JACK ANDERSON,hr,57.0,75993.95,2.29,2015-06-04,south
1024,frank miller,MARKETING,54.0,48288.58,2.84,2015-06-11,West 
1025,Isabella Taylor,Sales,51.0,60109.23,7.43,2015-06-18,EAST
1026,alice johnson,FINANCE,58.0,54793.33,5.45,2015-06-25,North
1027,JACK ANDERSON,  Engineering  ,44.0,75585.67,7.79,2015-07-02,EAST
1028,  Carol White ,Sales,31.0,44833.21,1.93,2015-07-09,
1029,  Grace Wilson,FINANCE,26.0,72302.98,5.83,2015-07-16,West 
1030,david brown,hr,,,4.41,2015-07-23,
1031,Isabella Taylor,HR,55.0,44587.81,5.11,2015-07-30,south
1032,  Carol White ,sales,52.0,56647.9,6.44,2015-08-06,
1033,Emily Davis,MARKETING,31.0,60136.85,5.52,2015-08-13,
1034,  Carol White ,sales,40.0,83672.94,5.86,2015-08-20,EAST
1035,  Grace Wilson,Finance,,,5.38,2015-08-27,
1036,Emily Davis,Finance,22.0,57899.17,4.68,2015-09-03,
1037,Isabella Taylor,Sales,26.0,78942.14,7.95,2015-09-10,North
1038,  Grace Wilson,hr,25.0,64015.81,1.11,2015-09-17,EAST
1039,BOB SMITH,hr,37.0,45335.87,6.39,2015-09-24,EAST
1040,david brown,  Engineering  ,45.0,75339.56,6.09,2015-10-01,south
1041,Isabella Taylor,  Engineering  ,,,7.45,2015-10-08,
1042,BOB SMITH,  Engineering  ,23.0,45261.29,6.39,2015-10-15,North
1043,JACK ANDERSON,HR,49.0,42272.19,8.44,2015-10-22,south
1044,Isabella Taylor,engineering,53.0,40956.32,9.63,2015-10-29,West 
1045,JACK ANDERSON,marketing,48.0,59997.6,4.08,2015-11-05,West 
1046,Emily Davis,engineering,41.0,51131.47,3.05,2015-11-12,EAST
1047,BOB SMITH,sales,45.0,2827.46,4.81,2015-11-19,EAST
1048,david brown,engineering,33.0,50976.05,3.59,2015-11-26,West 
1049,  Grace Wilson,HR,56.0,47231.32,6.53,2015-12-03,EAST
1050,henry moore,sales,54.0,68392.38,9.21,2015-12-10,North
1051,  Carol White ,engineering,54.0,46551.12,2.25,2015-12-17,EAST
1052,alice johnson,HR,58.0,93088.87,1.91,2015-12-24,
1053,david brown,marketing,33.0,75951.9,3.3,2015-12-31,EAST
1054,BOB SMITH,engineering,24.0,49151.34,7.53,2016-01-07,south
1055,henry moore,HR,22.0,72244.35,6.34,2016-01-14,North
1056,david brown,  Engineering  ,54.0,62878.18,1.92,2016-01-21,south
